,price_zz800,price_zz800_adj
2016-01-04,4084.6,1.0
2016-01-05,4075.97,0.9978871860157665
2016-01-06,4157.23,1.0177814229055475
2016-01-07,3848.9,0.9422954512069726
2016-01-08,3923.2,0.9604857268765608
2016-01-11,3706.14,0.907344660431866
2016-01-12,3726.65,0.9123659599471184
2016-01-13,3639.88,0.891122753758018
2016-01-14,3729.36,0.9130294276061304
2016-01-15,3604.01,0.8823409881016502
2016-01-18,3628.95,0.8884468491406747
2016-01-19,3743.43,0.9164740733486755
2016-01-20,3693.03,0.9041350438231407
2016-01-21,3572.11,0.8745311658424326
2016-01-22,3615.07,0.8850487195808647
2016-01-25,3638.48,0.8907800029378642
2016-01-26,3403.8,0.8333251725995202
2016-01-27,3382.16,0.8280272242080008
2016-01-28,3276.27,0.8021030211036576
2016-01-29,3387.11,0.8292390931792587
2016-02-01,3337.8,0.8171669196494149
2016-02-02,3420.42,0.837394114478774
2016-02-03,3414.16,0.8358615286686578
2016-02-04,3463.52,0.8479459432992215
2016-02-05,3436.16,0.8412476129853597
2016-02-15,3422.81,0.8379792390931793
2016-02-16,3538.48,0.8662978014983107
2016-02-17,3572.26,0.8745678891445919
2016-02-18,3561.83,0.8720143955344465
2016-02-19,3564.05,0.8725579004064046
2016-02-22,3641.28,0.8914655045781718
2016-02-23,3611.17,0.8840939137247221
2016-02-24,3634.92,0.8899084365666161
2016-02-25,3392.43,0.8305415462958429
2016-02-26,3420.52,0.8374185966802135
2016-02-29,3309.76,0.8103021103657642
2016-03-01,3375.27,0.8263404005288155
2016-03-02,3523.8,0.8627038143269844
2016-03-03,3533.83,0.8651593791313715
2016-03-04,3535.47,0.8655608872349801
2016-03-07,3567.64,0.8734368114380845
2016-03-08,3572.05,0.8745164765215688
2016-03-09,3516.61,0.8609435440434804
2016-03-10,3451.53,0.8450105273466191
2016-03-11,3453.46,0.8454830338344024
2016-03-14,3524.52,0.8628800861773491
2016-03-15,3523.0,0.8625079567154679
2016-03-16,3521.9,0.8622386524996328
2016-03-17,3582.38,0.8770454879302747
2016-03-18,3657.57,0.895453655192675
2016-03-21,3747.77,0.9175366008911522
2016-03-22,3724.11,0.9117441120305538
2016-03-23,3740.26,0.9156979875630418
2016-03-24,3677.93,0.900438231405768
2016-03-25,3701.47,0.9062013416246388
2016-03-28,3671.39,0.8988370954316212
2016-03-29,3622.7,0.8869167115507026
2016-03-30,3727.26,0.9125153013758998
2016-03-31,3731.98,0.9136708612838467
2016-04-01,3729.58,0.9130832884492973
2016-04-05,3793.22,0.9286637614454292
2016-04-06,3794.02,0.9288596190569456
2016-04-07,3737.69,0.9150687949860452
2016-04-08,3707.68,0.9077216863340352
2016-04-11,3768.1,0.9225138324438134
2016-04-12,3749.42,0.9179405572149048
2016-04-13,3800.86,0.9305342016354111
2016-04-14,3822.92,0.9359349752729765
2016-04-15,3816.84,0.9344464574254517
2016-04-18,3762.67,0.9211844489056457
2016-04-19,3775.54,0.9243353082309161
2016-04-20,3677.98,0.9004504725064878
2016-04-21,3652.09,0.8941120305537874
2016-04-22,3671.02,0.8987465112862949
2016-04-25,3654.57,0.8947191891494883
2016-04-26,3680.78,0.9011359741467954
2016-04-27,3664.58,0.8971698575135876
2016-04-28,3655.54,0.894956666503452
2016-04-29,3651.55,0.8939798266660138
2016-05-03,3730.34,0.913269353180238
