date,code,close,pred,share_position,value_position,Side
2017-01-05,000002.XSHE,20.93,6.42743316397426,129.81644637726708,2717.0582226762003,Buy
2017-01-05,000012.XSHE,11.6,5.430782623214034,17.39107463632842,201.73646578140963,Buy
2017-01-05,000025.XSHE,56.8,5.979306652699087,1.0340387575709622,58.733401430030646,Buy
2017-01-05,000413.XSHE,11.47,6.42743316397426,35.844272886679555,411.1338100102145,Buy
2017-01-05,000758.XSHE,8.22,5.904693386631607,22.36752831356292,183.86108273748724,Buy
2017-01-05,000806.XSHE,16.05,6.414282806100585,12.728354637416906,204.29009193054137,Buy
2017-01-05,000810.XSHE,14.24,6.486372192931558,9.863022345663426,140.4494382022472,Buy
2017-01-05,002022.XSHE,20.31,6.432281266442024,7.795412173617409,158.32482124616956,Buy
2017-01-05,002030.XSHE,23.34,6.285040053253575,9.846887464518382,229.826353421859,Buy
2017-01-05,002081.XSHE,10.06,6.340263457439794,29.953070138921323,301.3278855975485,Buy
2017-01-05,002273.XSHE,20.29,5.606503949558504,10.068511184353937,204.29009193054137,Buy
2017-01-05,002292.XSHE,23.11,6.009711482420429,9.944887642659411,229.826353421859,Buy
2017-01-05,002299.XSHE,20.73,6.479187531359674,8.869323817534358,183.86108273748724,Buy
2017-01-05,002325.XSHE,8.11,6.492096082500828,16.058561480360066,130.23493360572013,Buy
2017-01-05,002373.XSHE,14.22,5.935098216352948,10.415634082253339,148.1103166496425,Buy
2017-01-05,002426.XSHE,8.41,6.486372192931558,32.79329656435563,275.79162410623087,Buy
2017-01-05,002500.XSHE,12.02,6.46728916919065,21.882154189731448,263.023493360572,Buy
2017-01-05,002657.XSHE,43.62,5.676274255650462,3.9223510314495282,171.09295199182841,Buy
2017-01-05,002673.XSHE,20.9,6.44034171511541,27.002458323355054,564.3513789581206,Buy
2017-01-05,002736.XSHE,15.72,6.486372192931558,47.271323753011714,743.1052093973442,Buy
2017-01-05,300001.XSHE,17.65,6.387512243278921,7.668112515806441,135.34218590398368,Buy
2017-01-05,300010.XSHE,17.3,5.3412736607854745,8.118464635968046,140.4494382022472,Buy
2017-01-05,300026.XSHE,5.49,6.486372192931558,46.514137506953865,255.3626149131767,Buy
2017-01-05,300133.XSHE,11.49,6.492096082500828,13.334862397554918,153.21756894790602,Buy
2017-01-05,300134.XSHE,26.52,5.428348076590527,7.125502829402366,188.96833503575075,Buy
2017-01-05,300166.XSHE,19.9,6.62634216324366,6.672791947479995,132.7885597548519,Buy
2017-01-05,600176.XSHG,9.95,6.492096082500828,18.735146621770753,186.41470888661897,Buy
2017-01-05,600187.XSHG,5.49,6.492096082500828,27.908482504172316,153.21756894790602,Buy
2017-01-05,600188.XSHG,11.04,5.448071500903633,7.401814925019616,81.71603677221655,Buy
2017-01-05,600270.XSHG,16.97,6.025073267721891,6.922027275195127,117.46680286006129,Buy
2017-01-05,600395.XSHG,8.29,6.3195499118382505,12.629514127189683,104.69867211440246,Buy
2017-01-05,600503.XSHG,8.47,5.829784658224394,30.45055974761611,257.9162410623085,Buy
2017-01-05,600751.XSHG,8.9,6.492096082500828,23.527791486382572,209.3973442288049,Buy
2017-01-05,601225.XSHG,4.94,6.455967363210216,38.25269939994954,188.96833503575075,Buy
2017-01-05,603019.XSHG,27.46,6.492096082500828,6.323619014601609,173.64657814096017,Buy
2017-01-06,000002.XSHE,20.64,6.42743316397426,129.81644637726708,2679.4114532267927,Hold
2017-01-06,000012.XSHE,11.38,6.372739327778225,17.39107463632842,197.9104293614174,Hold
2017-01-06,000025.XSHE,55.35,6.439406310753737,1.0340387575709622,57.234045231552756,Hold
2017-01-06,000413.XSHE,11.43,6.42743316397426,35.844272886679555,409.7000390947473,Hold
2017-01-06,000758.XSHE,8.27,5.553713498470323,22.36752831356292,184.97945915316535,Hold
2017-01-06,000806.XSHE,16.31,5.311971710079771,12.728354637416906,207.59946413626972,Hold
2017-01-06,000810.XSHE,14.06,6.492096082500828,9.863022345663426,138.67409418002777,Hold
2017-01-06,002022.XSHE,20.2,6.057726773814424,7.795412173617409,157.46732590707165,Hold
2017-01-06,002030.XSHE,22.97,6.492096082500828,9.846887464518382,226.1830050599872,Hold
2017-01-06,002081.XSHE,10.03,6.439123407092431,29.953070138921323,300.42929349338084,Hold
2017-01-06,002273.XSHE,19.9,6.426516337177572,10.068511184353937,200.36337256864334,Hold
2017-01-06,002292.XSHE,22.77,6.476470434406021,9.944887642659411,226.44509162335478,Hold
2017-01-06,002299.XSHE,20.29,6.466706506264996,8.869323817534358,179.95858025777213,Hold
2017-01-06,002325.XSHE,8.06,6.492096082500828,16.058561480360066,129.43200553170215,Hold
